customer_id,name,city,phone,age
1,Khalid Mehmood,Multan,03694409687,33
2,Maryam Javed,Quetta,03305330571,40
3,Rabia Aslam,Quetta,03787055796,52
4,Nida Farooq,Quetta,03658567306,50
5,Usman Tariq,Islamabad,03985656367,40
6,Sara Malik,Karachi,03653925216,43
7,Usman Tariq,Multan,03967075192,40
8,Zara Sheikh,Faisalabad,03802555293,46
9,Bilal Hussain,Multan,03658057838---,41
10,Fatima Noor,Hyderabad,,44
11,Sara Malik,Faisalabad,03839633546,46
12,Fatima Noor,Islamabad,03515481970,24
13,Hamza Raza,Karachi,03733808798,38
14,Hina Rashid,Multan,03927706398,19
15,Shahid Anwar,Multan,03731806081 ,51
16,Hamza Raza,Peshawar,03123244471,48
17,Bilal Hussain,Multan,03159202006,25
18,Shahid Anwar,Hyderabad,03743981827,41
19,Khalid Mehmood,Lahore,03887438355,22
20,Nimra Rehman,Hyderabad,03859345966,57
21,Khalid Mehmood,Quetta,03425134594,29
22,Usman Tariq,Islamabad,03757561654??,19
23,Nida Farooq,Islamabad,03676310063,37
24,Ayesha Siddiqui,,03876654374,54
25,Hassan Ali,Multan,03517300585,24
26,Zara Sheikh,Islamabad,03346315055,50
27,Shahid Anwar,Multan,03736240331,46
28,Hina Rashid,Hyderabad,03934625381,28
29,Ahmed Khan,Hyderabad,03939959655,30
30,Adnan Iqbal,Peshawar,03228593617,59
31,Maryam Javed,Rawalpindi,03646278944,34
32,Maryam Javed,Faisalabad,03851086762,19
33,Hamza Raza,Lahore,03962265776 ,47
34,Ayesha Siddiqui,Faisalabad ,03819758851,23
35,Sara Malik,Lahore,03366221370,32
36,Hassan Ali,Peshawar,03865258377,37
37,Ahmed Khan,Lahore,03822865976,42
38,Ayesha Siddiqui,Rawalpindi,03695529642,58
39,Hamza Raza,Hyderabad,03495685949,30
40,Usman Tariq,Rawalpindi,03295518266,25
41,Maryam Javed,Multan,03127064705,33
42,Nida Farooq,Faisalabad,03188013690,22
43,Imran Qureshi,Faisalabad,03558886005,45
44,Shahid Anwar,Faisalabad,03782868697,42
45,Shahid Anwar,Hyderabad,03328917382,23
46,Ahmed Khan,Faisalabad,03842020751,37
47,Maryam Javed,Rawalpindi,03672457933,38
48,Nimra Rehman,Peshawar,03845556210,51
49,Imran Qureshi,Faisalabad,03769267963,31
50,Sara Malik,Hyderabad,,18
51,Bilal Hussain,Peshawar,03407776210,23
52,Adnan Iqbal,Lahore,03145507047,38
53,Hamza Raza,Peshawar,03529847227,30
54,Zara Sheikh,Peshawar,,44
55,Rabia Aslam,Rawalpindi,,53
56,Shahid Anwar,Rawalpindi,03633208092,43
57,Hassan Ali,Karachi,,55
58,Sara Malik,Multan,03472281376,32
59,Tariq Mahmood,Peshawar,03984161408,39
60,Sana Shamim,Rawalpindi ,03651395121,19
61,Imran Qureshi,Lahore,03138753132,28
62,Tariq Mahmood,Lahore,03381846044,18
63,Sana Shamim,Peshawar---,03713173716??,30
64,Zara Sheikh,Islamabad,03993178539,41
65,Bilal Hussain,Rawalpindi,03992136192,42
66,Shahid Anwar,Faisalabad,03853803012,29
67,Bilal Hussain,Multan,03474874511,55
68,Imran Qureshi,Quetta,03632632434,35
69,Ahmed Khan,Karachi,03589694615,55
70,Ahmed Khan,Multan,03726244525,27
71,Nimra Rehman,Faisalabad,03911248184,59
72,Ayesha Siddiqui,Multan,03841972525,48
73,Sara Malik,Lahore,03672390867,39
74,Ayesha Siddiqui,Peshawar,03356450517,42
75,Zara Sheikh,Lahore,03594896469,54
76,Nida Farooq,Islamabad,03662683849,21
77,Adnan Iqbal,Hyderabad,03137370353,56
78,Hina Rashid,Karachi,03954934480,42
79,Usman Tariq,Islamabad,03567928730,53
80,Hassan Ali,Karachi,03668296114,56
81,Rabia Aslam,Quetta,03987255632,26
82,Adnan Iqbal,Karachi,03272639255,59
83,Nida Farooq,Karachi,03522911020,42
84,Tariq Mahmood,,03143538430,29
85,Sara Malik,Hyderabad,03287350646,26
86,Ahmed Khan,Hyderabad,03646946955,56
87,Nida Farooq,Hyderabad,03944606057,36
88,Maryam Javed,Islamabad,03353466904,49
89,Usman Tariq,Quetta,03187988783,22
90,Fatima Noor,Quetta,03302709075,27
91,Hassan Ali,Faisalabad,03128046106,24
92,Sana Shamim,Multan,03167838308,28
93,Imran Qureshi,Faisalabad,03464459124,48
94,Bilal Hussain,Faisalabad,03343987962,21
95,Hina Rashid,Lahore,03602251454,46
96,Usman Tariq,Islamabad,03966247004,43
97,Zara Sheikh,Hyderabad,,44
98,Hassan Ali,,03471434470,18
99,Imran Qureshi,,03585495236,18
100,Imran Qureshi,Peshawar,03555102880,31
101,Nida Farooq,Peshawar,03986393043,34
102,Khalid Mehmood,Lahore,03636185197,48
103,Khalid Mehmood,Multan,03954544481,42
104,Bilal Hussain,Karachi,03997711901,56
105,Fatima Noor,Karachi,03774120266,52
106,Nida Farooq,Karachi,03243899762,42
107,Nimra Rehman,Islamabad,03961509872,25
108,Hassan Ali,Peshawar,03466881652,55
109,Nida Farooq,Hyderabad,03422624632,37
110,Sara Malik,Lahore,03125448323,35
111,Hassan Ali,Quetta,03382204470,45
112,Imran Qureshi,Lahore,03149535067,19
113,Zara Sheikh,Lahore,03169559459,52
114,Ayesha Siddiqui,Hyderabad,03519661340,47
115,Sara Malik,Multan,03296487998,55
116,Sara Malik,Hyderabad,03909789579,54
117,Khalid Mehmood,Quetta,03841902108,58
118,Hina Rashid,Hyderabad,03921309742,60
119,Rabia Aslam,Peshawar,03239639791,35
120,Nida Farooq,Multan,03245867072,60
121,Adnan Iqbal,Quetta,03604425335,35
122,Sana Shamim,Karachi,03882805667??,41
123,Tariq Mahmood,Faisalabad,03295228122,38
124,Zara Sheikh,Karachi,03114506216,46
125,Khalid Mehmood,Faisalabad,03667246643,20
126,Tariq Mahmood,Multan,03842847349,20
127,Ayesha Siddiqui,Quetta,03387325636,25
128,Rabia Aslam,Rawalpindi,03838260593,42
129,Khalid Mehmood,,,38
130,Shahid Anwar,Multan,03136940585,55
131,Hassan Ali,Multan,03982828420,28
132,Ayesha Siddiqui,Karachi,,46
133,Ahmed Khan,Peshawar,03165922714,20
134,Maryam Javed,Lahore,03819012280,58
135,Imran Qureshi,Peshawar,03452746007,36
136,Tariq Mahmood,Rawalpindi,03524301407,22
137,Zara Sheikh,Quetta,03468558410,54
138,Fatima Noor,,03732336055,54
139,Bilal Hussain,Hyderabad,03682589675,45
140,Hamza Raza,Peshawar---,03679335323,48
141,Khalid Mehmood,Peshawar,03894863316,21
142,Sana Shamim,Islamabad,03141127675,34
143,Hassan Ali,Peshawar,03772505300,22
144,Ayesha Siddiqui,Rawalpindi,03405361769,28
